"","objectId","event","unixtime","m_PM1_CF1","m_PM1_ATM","m_PM1_b","m_PM25_CF1","m_PM25_ATM","m_PM25_b","m_PM4_b","m_PM10_CF1","m_PM10_ATM","m_PM10_b","n_PM03_P","n_PM05_P","n_PM05_b","n_PM1_P","n_PM1_b","n_PM25_P","n_PM25_b","n_PM4_b","tempC_pms","rh_pms","n_PM10_b","typ_size_b","temp_C","tempC_sen5x","rh","rh_sen5x","o3","vocIdx","noxIdx","lat","lon","alt","sats","counter","moos","ver","coreid","published_at","createdAt","updatedAt","date"
"1","L4786Po2mo","MOOSPMv3Parser",1779062400,1,1,3,3,3,7,11,4,4,12,385,96,9,22,17,4,21,22,24,14,22,1,26,28,22,22,0.004,9,3174,0,0,0,0,32,58,3,"e00fce68e28dcbc9a589be10",2026-05-18 00:00:02.815,2026-05-18 00:00:03.261,2026-05-18 00:00:03.261,2026-05-18
"2","VYTqoMRheg","MOOSPMv3Parser",1779062400,1,1,2,2,2,5,8,2,2,9,603,106,446,20,13,3,16,17,26,12,17,1,27,29,22,22,49.138,26,2,36.139057,-120.368713,133.617996,6,600,58,3,"e00fce68e88237db75a60608",2026-05-18 00:00:02.672,2026-05-18 00:00:03.424,2026-05-18 00:00:03.424,2026-05-18
"3","zM3vSmi4nY","MOOSPMv3Parser",1779062401,1,1,1,2,2,5,8,3,3,9,654,117,387,19,5,3,9,10,26,12,10,1,27,29,22,22,47.218,16,1,36.13895,-120.368347,152.240005,6,600,58,3,"e00fce68e77e43df92405fdb",2026-05-18 00:00:03.29,2026-05-18 00:00:03.794,2026-05-18 00:00:03.794,2026-05-18
"4","SxyV5YAvW4","MOOSPMv3Parser",1779062400,1,1,6554,2,2,6554,6554,3,3,6554,401,107,280216,21,6554,3,6554,6554,25,11,6554,66,29,328,19,655,44.99,6554,6554,36.138966,-120.368446,172.75,6,600,58,3,"e00fce6808784ceaf209f949",2026-05-18 00:00:03.389,2026-05-18 00:00:03.969,2026-05-18 00:00:03.969,2026-05-18
"5","7p2FpHPYA6","MOOSPMv3Parser",1779062400,0,0,2,0,0,6,9,0,0,10,193,113,527915,21,16,5,20,20,29,21,20,1,27,32,23,21,41.256,14,1,36.139046,-120.368347,181.132004,6,600,58,3,"e00fce68d6b773b56ce8baa0",2026-05-18 00:00:07.469,2026-05-18 00:00:07.865,2026-05-18 00:00:07.865,2026-05-18
"6","yzLEcX0RSW","MOOSPMv3Parser",1779062400,1,1,2,2,2,5,7,2,2,8,403,108,25230,16,12,2,15,16,27,14,16,1,27,31,22,21,0,36,1,36.138924,-120.368416,186.908997,0,600,58,3,"e00fce68f12da1a0c5de6248",2026-05-18 00:00:21.161,2026-05-18 00:00:21.372,2026-05-18 00:00:21.372,2026-05-18
"7","8krxzZLYEx","MOOSPMv3Parser",1779063000,1,1,3,3,3,7,10,4,4,12,680,127,454,27,16,5,20,21,25,12,21,1,26,28,22,22,47.889,34,2,36.139076,-120.368446,156.337006,7,600,58,3,"e00fce68e88237db75a60608",2026-05-18 00:10:02.605,2026-05-18 00:10:02.853,2026-05-18 00:10:02.853,2026-05-18
"8","I7wbo1yYoC","MOOSPMv3Parser",1779063000,0,0,3,0,0,8,11,0,0,13,202,123,527915,24,20,5,24,25,29,20,26,1,27,32,22,20,40.851,17,1,36.139046,-120.368279,163.800003,7,600,58,3,"e00fce68d6b773b56ce8baa0",2026-05-18 00:10:02.748,2026-05-18 00:10:02.934,2026-05-18 00:10:02.934,2026-05-18
"9","t97kL9xrwY","MOOSPMv3Parser",1779063000,1,1,3,3,3,8,12,3,3,13,414,115,12,22,20,3,24,25,24,13,25,1,26,28,22,22,45.16,65,3277,36.13903,-120.368423,168.848999,7,599,58,3,"e00fce68e28dcbc9a589be10",2026-05-18 00:10:03.008,2026-05-18 00:10:03.172,2026-05-18 00:10:03.172,2026-05-18
"10","lEPTK0RjUM","MOOSPMv3Parser",1779063000,1,1,6554,3,3,6554,6554,4,4,6554,470,125,286776,26,6554,3,6554,6554,25,11,6554,66,29,328,19,655,45.24,6554,6554,36.138962,-120.368385,180.873993,6,600,58,3,"e00fce6808784ceaf209f949",2026-05-18 00:10:03.221,2026-05-18 00:10:03.405,2026-05-18 00:10:03.405,2026-05-18
